Date,Portfolio_Value
2020-01-02,99999.99999999993
2020-01-03,99459.60239368932
2020-01-06,100196.82344944638
2020-01-07,100158.62381016414
2020-01-08,99737.20864515868
2020-01-09,100297.34048485232
2020-01-10,99675.5369002215
2020-01-13,100235.07696326356
2020-01-14,99980.74200706396
2020-01-15,99935.28826535564
2020-01-16,100674.61643629693
2020-01-17,100811.69464925345
2020-01-21,100467.53628963033
2020-01-22,100350.00549871902
2020-01-23,100395.63754923946
2020-01-24,99020.55541678738
2020-01-27,97232.3380125948
2020-01-28,98279.96975518866
2020-01-29,97618.91775434096
2020-01-30,98794.33874099275
2020-01-31,96765.23938369229
2020-02-03,97520.69096195172
2020-02-04,98440.99703188345
2020-02-05,99637.18306099217
2020-02-06,100222.80642800506
2020-02-07,99565.37193707285
2020-02-10,100414.03357405045
2020-02-11,100450.95789667872
2020-02-12,101137.85331369507
2020-02-13,100993.63631851645
2020-02-14,101418.36929184463
2020-02-18,101483.76744047136
2020-02-19,102647.7185303223
2020-02-20,102161.38784319209
2020-02-21,100504.81930955744
2020-02-24,96682.37047711712
2020-02-25,93924.81426901162
2020-02-26,93942.35434572797
2020-02-27,89609.72657896827
2020-02-28,90372.31387391163
2020-03-02,94116.50267683537
2020-03-03,90987.67308416801
2020-03-04,94761.32567825765
2020-03-05,91835.5646783532
2020-03-06,89534.77035902964
2020-03-09,83357.8965901822
2020-03-10,84699.30389532942
2020-03-11,81068.01405858544
2020-03-12,73367.48417170365
2020-03-13,79659.67573896552
2020-03-16,70170.20954828007
2020-03-17,74198.13717560956
2020-03-18,70059.30409076302
2020-03-19,70292.06989326491
2020-03-20,67745.39023813808
2020-03-23,67028.76630839288
2020-03-24,72455.36558361167
2020-03-25,72366.6904488766
2020-03-26,76672.59931373148
2020-03-27,73720.50062990202
2020-03-30,76821.55457447786
2020-03-31,76117.7476521711
2020-04-01,72744.68137011156
2020-04-02,76826.72190730105
2020-04-03,76475.358533353
2020-04-06,81555.58613361379
2020-04-07,81515.40751017192
2020-04-08,84296.81824999004
2020-04-09,83905.57565441515
2020-04-13,83614.26414540394
2020-04-14,85633.8839499438
2020-04-15,83513.64097527224
2020-04-16,83589.87266956772
2020-04-17,86205.67563774294
2020-04-20,84238.43169383369
2020-04-21,82371.20338948253
2020-04-22,86276.06344312367
2020-04-23,88667.51496144908
2020-04-24,89607.95927964193
2020-04-27,91772.82550256905
2020-04-28,92233.48302945466
2020-04-29,99304.066726211
2020-04-30,99916.5286206758
2020-05-01,93428.82835443436
2020-05-04,95868.79335344864
