ticker,market_cap,sector,pe_ratio,pb_ratio,roe,debt_to_equity,avg_volume,current_price,ipo_date,momentum_12m,value_score,quality_score,momentum_score,composite_score
GOOGL,3765191311360.0,Communication Services,28.819445,9.060344,35.705003000000005,16.133,37797414.0,311.25,,0.638911690025547,34.523809523809526,85.71428571428572,90.47619047619048,74.82142857142858
GOOG,3768941543424.0,Communication Services,28.848148,9.069367,35.705003000000005,16.133,24207929.0,311.56,,0.6292544024807201,32.14285714285714,85.71428571428572,88.09523809523809,73.27380952380952
MU,453546475520.0,Technology,38.268757,7.7158885,22.554001,21.244,32144988.0,402.97,,1.7244043746685278,26.19047619047619,70.23809523809524,100.0,71.13095238095238
NVDA,4672433160192.0,Technology,47.620346,39.229355,107.35900000000001,9.102,180745911.0,191.91,,0.31347492021506507,8.333333333333332,97.61904761904762,83.33333333333334,69.58333333333334
CVE,41083211776.0,Energy,17.014532,1.8433397,10.836001000000001,35.324,11788614.0,21.7786,,0.24580458373559347,80.95238095238095,45.23809523809524,78.57142857142857,67.5
LRCX,296592637952.0,Technology,48.48768,29.120111,65.565,44.195,12095603.0,236.135,,1.1246703818236954,8.333333333333332,76.19047619047619,95.23809523809523,66.84523809523809
MSFT,2996363067392.0,Technology,25.212633,7.6622634,34.390998,31.539,30442186.0,403.15,,0.13889990931356797,47.61904761904762,76.19047619047619,64.28571428571429,64.28571428571429
AMD,344527994880.0,Technology,80.963066,5.4673634,7.081999999999999,6.359,39420572.0,211.3136,,0.7554116959913959,28.571428571428573,53.57142857142857,92.85714285714286,63.035714285714285
XOM,656992174080.0,Energy,23.25224,2.5099485,11.0810004,16.329,17930229.0,155.79,,0.13552289418810357,69.04761904761905,57.142857142857146,61.904761904761905,62.02380952380952
T,200914993152.0,Communication Services,9.322369,1.8044059,18.805,124.179,42038086.0,28.34,,0.1787094107837619,90.47619047619047,32.14285714285714,66.66666666666666,60.53571428571428
NFLX,337675616256.0,Communication Services,31.464428,12.627697,42.762001999999995,63.782,46624816.0,79.615,,0.2024681896985895,26.19047619047619,64.28571428571428,73.80952380952381,58.57142857142857
CSCO,340327530496.0,Technology,33.25676,7.236411,22.418,63.228,22404772.0,86.135,,0.30852058540912114,34.52380952380952,50.0,80.95238095238095,58.51190476190476
PR,12801511424.0,Energy,15.343749,1.2753246,8.988999999999999,32.867,10549781.0,17.185,,0.08829142561504343,91.66666666666666,45.23809523809524,45.23809523809524,56.8452380952381
KO,339796066304.0,Consumer Defensive,25.97204,10.558305,43.323,132.726,17746255.0,78.955,,0.18611304084414917,39.285714285714285,51.19047619047619,69.04761904761905,55.357142857142854
AVGO,1618315313152.0,Technology,71.55661,5.763581,31.048,166.032,31389019.0,341.325,,0.6083755099212531,27.38095238095238,39.285714285714285,85.71428571428571,54.88095238095238
WBD,69636382720.0,Communication Services,147.81578,1.9314351,0.9690000000000001,89.857,42039819.0,28.085,,1.2497645251299483,40.476190476190474,13.095238095238097,97.61904761904762,53.75
CVX,370960039936.0,Energy,27.984915,1.9540398,7.16,21.239,10541803.0,185.54,,0.10841163856164154,65.47619047619048,46.42857142857143,52.38095238095239,53.57142857142858
FCX,93029343232.0,Basic Materials,42.622894,4.7993774,13.946,33.768,18972326.0,64.7868,,0.12523653740018473,39.285714285714285,54.76190476190476,59.523809523809526,52.797619047619044
MRK,296137195520.0,Healthcare,16.285713,5.687695,37.166,79.708,14809770.0,118.56,,0.05078050158955555,66.66666666666667,55.95238095238095,40.476190476190474,52.44047619047619
WMT,1034158604288.0,Consumer Defensive,45.35315,10.760744,23.660999999999998,66.747,30205218.0,129.71,,0.22592746932370858,16.666666666666664,50.0,76.19047619047619,52.14285714285714
ORCL,450599976960.0,Technology,29.469923,15.038849,69.026,432.511,29168585.0,156.78,,0.20110439801273103,26.19047619047619,47.61904761904761,71.42857142857143,51.785714285714285
META,1667192061952.0,Communication Services,28.07006,7.67565,30.238,39.164,17296704.0,659.085,,0.07095068431288404,41.66666666666667,66.66666666666666,42.857142857142854,50.89285714285714
VICI,31310829568.0,Real Estate,11.1387825,1.1314305,10.357001,62.925,12523645.0,29.295,,0.029097865703049126,96.42857142857143,33.33333333333333,33.33333333333333,49.10714285714285
BSX,110299594752.0,Healthcare,38.337627,4.7126474,12.675,50.973,13063221.0,74.375,,0.11416278464642059,41.666666666666664,42.85714285714286,57.14285714285714,48.27380952380952
VZ,205768507392.0,Communication Services,12.018473,1.9698437,17.069000000000003,171.781,29788514.0,48.795,,0.09080442547376082,82.14285714285714,23.80952380952381,47.61904761904761,47.91666666666667
AMZN,2183380860928.0,Consumer Cyclical,28.406496,5.309625,22.286,43.435,45495560.0,203.3905,,0.04527376483938547,52.38095238095238,57.142857142857146,35.714285714285715,47.38095238095238
AAPL,4109685489664.0,Technology,35.34891,46.617188,152.02099,102.63,47922444.0,279.6099,,0.11264293107392423,14.285714285714285,60.714285714285715,54.761904761904766,46.72619047619048
DIS,193245986816.0,Communication Services,16.072271,1.784083,12.024,40.909,12210931.0,108.97,,-0.03876910514886986,86.9047619047619,45.23809523809524,21.428571428571427,46.13095238095238
CSX,77003964416.0,Industrials,26.82143,5.850567,22.511,143.412,13645760.0,41.305,,0.09082906941444038,51.19047619047619,34.52380952380952,50.0,44.88095238095238
PYPL,37655314432.0,Financial Services,7.439002,1.8279057,25.732001999999998,60.703,19663088.0,40.245,,-0.2778647403354763,90.47619047619048,58.33333333333334,2.380952380952381,43.98809523809524
SLB,77278732288.0,Energy,21.991491,2.9599085,13.904001,45.975,17594742.0,51.68,,-0.008921848711499059,69.04761904761905,45.238095238095234,23.809523809523807,42.61904761904762
PFE,158773379072.0,Healthcare,20.533087,1.7109859,8.5760005,66.531,53895822.0,27.925,,0.017972603570177777,83.33333333333334,26.19047619047619,30.952380952380953,42.38095238095238
